doc_id,gold_participants,gold_interventions,gold_outcomes,pred_participants,pred_interventions,pred_outcomes,approach
12271298,"METHODS Randomized , controlled , split-face comparison of anesthesia was performed on 12 volunteers .","Efficacy of erbium : yttrium-aluminum-garnet laser-assisted delivery of topical anesthetic . OBJECTIVE Our aim was to evaluate the effectiveness of 5 % lidocaine ( ELA-Max ) cream applied after erbium : yttrium-aluminum-garnet ( Er : YAG ) laser ablation of the stratum corneum . The stratum corneum was painlessly ablated with a low-fluence Er : YAG laser on half of the face , then the whole face was covered with ELA-Max cream for 60 minutes . CONCLUSION Laser-assisted topical anesthesia is fast , painless , and substantially more effective than conventional topical anesthesia but does not provide adequate anesthesia for full-face resurfacing in all subjects .","Full-face laser resurfacing was performed , and visual analog pain scores ( 0 to 10 ) were recorded during each of 2 passes . RESULTS Laser-assisted topical anesthesia demonstrated significantly lower mean pain scores than topical anesthesia alone . Resurfacing after laser-assisted topical anesthesia was well tolerated by 72 % of subjects in pass 1 and 58 % in pass 2 .",12 volunteers,erbium : yttrium-aluminum-garnet laser ; topical anesthetic cream,"visual analog pain scores ; resurfacing tolerance  This abstract describes a clinical trial evaluating the efficacy of erbium:yttrium-aluminum-garnet laser-assisted delivery of topical anesthetic compared to traditional topical anesthesia. The participants are 12 volunteers who underwent randomization into two groups - one receiving erbium:yttrium-aluminum-garnet laser ablation followed by application of topical anesthetic cream, while the other received topical anesthetic cream alone. Visual analog pain scores were recorded before and after both passes of laser resurfacing. The primary outcome measures were the difference in pain scores between the two groups and the tolerability of resurfacing after laser-assisted topical anesthesia. The authors concluded that laser-assisted topical anesthesia is faster, less painful, and more effective than traditional topical anesthesia but may not be sufficient",zero_shot_qwen
12233894,14 day endoscopy study comparing risedronate and alendronate in postmenopausal women stratified by Helicobacter pylori status .,"OBJECTIVE Bisphosphonates are effective treatment for osteoporosis but have been associated with gastrointestinal ( GI ) mucosal injury . This study compared the incidence of gastric ulcers after treatment with risedronate , a pyridinyl bisphosphonate , or alendronate , a primary amino bisphosphonate , in healthy postmenopausal women stratified by Helicobacter pylori status . METHODS Subjects were randomized to receive risedronate 5 mg ( n = 318 ) or alendronate 10 mg ( n = 317 ) daily for 14 days . Endoscopy and evaluator-blind assessments of the esophageal , gastric , and duodenal mucosa were performed at baseline and on Days 8 and 15 . CONCLUSION Risedronate was associated with a significantly lower incidence of gastric ulcers than alendronate .","RESULTS Overall , gastric ulcers > or = 3 mm were observed in 18 ( 6.0 % ) of 300 evaluable subjects in the risedronate group and 36 ( 12.1 % ) of 297 in the alendronate group during treatment ( p = 0.013 ) . On Day 8 , the incidences of gastric ulcers in the risedronate and alendronate groups were 3.6 % and 6.6 % , respectively ( p = 0.133 ) , and on Day 15 , they were 3.3 % and 8.7 % ( p = 0.008 ) . The incidence of gastric ulcers was not affected by H. pylori status . Mean gastric endoscopy scores at Days 8 and 15 were significantly lower in the risedronate group than in the alendronate group ( p < 0.001 ) . Mean esophageal and duodenal endoscopy scores were similar in the 2 groups at Days 8 and 15 . When the treatment groups were combined , gastric endoscopy scores were significantly higher among H. pylori negative than H. pylori positive subjects at Days 8 and 15 ( p < 0.05 ) . Upper GI adverse events were reported by 18 ( 5.7 % ) subjects in the risedronate group ( 19 events ) and 28 ( 8.8 % ) subjects in the alendronate group ( 32 events ) .",Healthy postmenopausal women,Risedronate 5 mg vs Alendronate 10 mg,"Incidence of gastric ulcers, mean gastric endoscopy scores, mean esophageal and duodenal endoscopy scores, upper GI adverse events",zero_shot_qwen
11213870,Beneficial effects of a soy-based dietary supplement on lipid levels and cardiovascular risk markers in type 2 diabetic subjects . RESEARCH DESIGN AND METHODS Twenty type 2 diabetic subjects participated in a crossover trial .,"The purpose of this study was to evaluate if a dietary supplement of soy protein , isoflavones , and cotyledon fiber ( Abalon ) affects cardiovascular risk markers , blood glucose , and insulin levels in type 2 diabetic subjects . They were randomized to double-blind supplementation for 6 weeks with Abalon ( soy protein [ 50 g/day ] with high levels of isoflavones [ minimum 165 mg/day ] and cotyledon fiber [ 20 g/day ] ) or placebo ( casein [ 50 g/day ] and cellulose [ 20 g/day ] ) , separated by a 3-week wash-out period .","OBJECTIVE Consumption of soy protein has recently been shown to improve the blood lipid levels in nondiabetic subjects . The percentage mean treatment difference between Abalon and placebo demonstrated significantly lower mean values after Abalon for LDL cholesterol ( 10 +/- 15 % , P < 0.05 ) , LDL/UHDL ratio ( 12 +/- 18 % , P < 0.05 ) , apolipoprotein ( apo ) B100 ( 30 +/- 38 % , P < 0.01 ) , triglycerides ( 22 +/- 10 % , P < 0.05 ) , and homocysteine ( 14 +/- 21 % , P < 0.01 ) , whereas the total cholesterol value tended to be less significant but still lower ( 8 +/- 15 % , P < 0.08 ) . No change occurred in HDL cholesterol , apo B100/apo A1 ratio , plasminogen activator inhibitor 1 , factor VIIc , von Willebrand factor , fibrinogen , lipoprotein ( a ) , glucose , HbA1c , or 24-h blood pressure . CONCLUSIONS These results indicate beneficial effects of dietary supplementation with Abalon on cardiovascular risk markers in type 2 diabetic subjects .",Twenty type 2 diabetic subjects,Abalon (soy protein [50g/day] with high levels of isoflavones [minimum 165mg/day] and cotyledon fiber [20g/day]) vs Placebo (casein [50g/day] and cellulose [20g/day]),"- Lower mean values for LDL cholesterol (10%) - Lower mean values for LDL/UHDL ratio (12%) - Lower mean values for apoB100 (30%) - Lower mean values for triglycerides (22%) - Lower mean values for homocysteine (14%) - Tendency towards lower mean values for total cholesterol (8%)  Note: ApoA1 ratio, plasminogen activator inhibitor 1, factor VIIc, von Willebrand factor, fibrinogen, lipop",zero_shot_qwen
10499652,"Thirty patients scheduled for elective myocardial revascularization and having undergone preoperative heparin treatment have been admitted to this prospective , randomized study .","Gabexate mesilate and antithrombin III for intraoperative anticoagulation in heparin pretreated patients . Patients in the control group ( group C , n = 10 ) were treated with a standard heparinization ( 300 IU/kg ) . Patients in group A ( n = 10 ) received the same management plus two doses of purified antithrombin III ( 1000 IU each ) . Patients in group GA received 200 IU/kg heparin and a continuous infusion of heparin ( 100 IU/kg/h ) and gabexate mesilate ( 2 mg/kg/h ) plus the same dose of antithrombin III as group A .",The aim of the study was to test two different strategies for preserving circulating antithrombin III ( AT-III ) during cardiopulmonary bypass . Both group A and group GA demonstrated a preservation of circulating AT-III when compared to group C ; this effect was more pronounced in group GA . The total heparin dosage was less in group GA than in groups A and C. Purified AT-III administration is recommended in heparin pretreated patients ; the addition of gabexate mesilate to this protocol decreases the heparin requirement and increases the AT-III preservation .,Thirty patients scheduled for elective myocardial revascularization and having undergone preoperative heparin treatment.,Group C: Standard heparinization (300 IU/kg). Group A: Same management plus two doses of purified antithrombin III (1000 IU each). Group GA: 200 IU/kg heparin and a continuous infusion of heparin (100 IU/kg/h) and gabexate mesilate (2 mg/kg/h) plus the same dose of antithrombin III as Group A.,Preservation of circulating antithrombin III (AT-III). Group GA showed a more pronounced preservation of AT-III compared to Groups C and A. Total heparin dosage was less in Group GA than in Groups A and C. Gabexate mesilate added to the protocol decreased the heparin requirement and increased AT-III preservation.,zero_shot_qwen
10602739,"Twenty-seven patients had documented infections with quinolone-sensitive organisms and received either lomefloxacin , levofloxacin , or ciprofloxacin .","Ciprofloxacin , lomefloxacin , or levofloxacin as treatment for chronic osteomyelitis . The efficacy and safety of three oral fluoroquinolones ( lomefloxacin , levofloxacin , and ciprofloxacin ) for the treatment of chronic osteomyelitis were analyzed .","Average follow-up was 11.8 months for patients who completed the course of therapy , and the average duration of therapy was 60.6 days . Gram-positive bacteria were isolated from 18 patients , and 11 patients were cured . Oral fluoroquinolones can be safe , effective therapy if they are given for a prolonged course as treatment for infections caused by susceptible gram-positive as well as gram-negative organisms and in combination with adequate surgical debridement .",27 patients,"lomefloxacin, levofloxacin, ciprofloxacin","effectiveness, duration of therapy, cure rate, isolation of bacteria, use of surgery, effectiveness of fluoroquinolones, duration of infection, safety of fluoroquinolones, effectiveness of antibiotic combinations, adequacy of surgical debridement",zero_shot_qwen
10992834,Comparison of succinylcholine with two doses of rocuronium using a new method of monitoring neuromuscular block at the laryngeal muscles by surface laryngeal electromyography .,"We compared the onset of neuromuscular block with succinylcholine ( 1 mg kg-1 ) and two doses of rocuronium ( 0.6 and 0.9 mg kg-1 ) at the adductor pollicis muscle using electromyography ( EMG ) and acceleromyography ( AMG ) , and at the adductor laryngeal muscles with a new electromyographic method using a disposable surface electrode attached to the cuff of a tracheal tube .","At the larynx , the mean ( +/- SD ) time to 90 % block and the onset time of succinylcholine ( 38 +/- 15 and 47 +/- 19 s , respectively ) were significantly shorter ( P < 0.01 ) than for rocuronium 0.6 mg kg-1 ( 92 +/- 42 and 106 +/- 38 s ) and rocuronium 0.9 mg kg-1 ( 52 +/- 31 and 64 +/- 30 s ) . We found that , with comparable degrees of neuromuscular block , the onset time of succinylcholine at the adductor pollicis was significantly shorter ( P < 0.01 ) than for rocuronium 0.6 mg kg-1 and 0.9 mg kg-1 ( EMG , 80 +/- 39 vs 145 +/- 48 s and 99 +/- 31 s ; AMG , 90 +/- 39 vs 124 +/- 53 s and 106 +/- 38 s ) . Clinical duration at the adductor pollicis ( AMG ) was significantly longer ( P < 0.01 ) for both rocuronium groups than for succinylcholine ( T4 : T1 = 0.7 , 54 +/- 18 and 77 +/- 21 vs 8 +/- 6 min ) . The surface laryngeal electrode proved non-invasive , easy to use and reliable in measuring onset of the neuromuscular block at the larynx .",The participants are patients undergoing surgical procedures who received different doses of succinylcholine and rocuronium.,The interventions include administering different doses of succinylcholine and rocuronium to the patients.,The outcomes measure the onset times of neuromuscular block at specific muscles and the duration of neuromuscular blockade at another location. Key points include: - Succinylcholine had a faster onset time compared to rocuronium. - The onset time of succinylcholine was significantly shorter than rocuronium at the adductor pollicis muscle. - The onset time of succinylcholine was also significantly shorter than rocuronium at the adductor laryngeal muscles when measured using surface electromyography (EMG) and acceleromyography (AMG). - The duration of neuromuscular blockade at the adductor pollicis was longer for both rocur,zero_shot_qwen
11392343,METHOD Thirty-nine subjects ( intent to treat ; 5-19 years old ; IQ > 35 ) had autism diagnosed according to DSM-IV and ICD-10 criteria using the Autism Diagnostic Interview-Revised and the Autism Diagnostic Observation Schedule-Generic . The design of these and similar drug trials in children with autistic disorder must take into account the possibility of a large placebo response .,"Double-blind , placebo-controlled study of amantadine hydrochloride in the treatment of children with autistic disorder . After a 1-week , single-blind placebo run-in , patients received a single daily dose of amantadine ( 2.5 mg/kg per day ) or placebo for the next week , and then bid dosing ( 5.0 mg/kg per day ) for the subsequent 3 weeks . Amantadine was well tolerated .","OBJECTIVE To test the hypothesis that amantadine hydrochloride is a safe and effective treatment for behavioral disturbances -- for example , hyperactivity and irritability -- in children with autism . The Aberrant Behavior Checklist-Community Version ( ABC-CV ) and Clinical Global Impressions ( CGI ) scale were used as outcome variables . RESULTS When assessed on the basis of parent-rated ABC-CV ratings of irritability and hyperactivity , the mean placebo response rate was 37 % versus amantadine at 47 % ( not significant ) . However , in the amantadine-treated group there were statistically significant improvements in absolute changes in clinician-rated ABC-CVs for hyperactivity ( amantadine -6.4 versus placebo -2.1 ; p = .046 ) and inappropriate speech ( -1.9 versus 0.4 ; p = .008 ) . CGI scale ratings were higher in the amantadine group : 53 % improved versus 25 % ( p = .076 ) . CONCLUSIONS Parents did not report statistically significant behavioral change with amantadine . However , clinician-rated improvements in behavioral ratings following treatment with amantadine suggest that further studies with this or other drugs acting on the glutamatergic system are warranted .",Thirty-nine children aged 5-19 years old with autism diagnosed according to DSM-IV and ICD-10 criteria using the Autism Diagnostic Interview-Revised and the Autism Diagnostic Observation Schedule-Generic.,Amantadine hydrochloride (2.5 mg/kg per day) and placebo.,"Absolute changes in clinician-rated Aberrant Behavior Checklist-Community Version (ABC-CV) scores for hyperactivity (-6.4 vs -2.1; p=0.046) and inappropriate speech (-1.9 vs 0.4; p=0.008), and clinician-rated CGI scale ratings (53% improvement vs 25%; p=0.076).",zero_shot_qwen
10361648,BACKGROUND This study evaluated the relative effects on compliance with recommended lifestyle changes of two experimental videotapes that involved different approaches for preparing coronary artery bypass graft ( CABG ) patients for the posthospital recovery period .,"Effects of a videotape information intervention at discharge on diet and exercise compliance after coronary bypass surgery . "" METHODS Two hundred sixteen male and female CABG patients were assigned randomly either to view one of the two videotapes before discharge from the hospital or to receive only the standard discharge preparation provided by the hospital .","All patients completed measures of anxiety and self-efficacy at discharge , 1 month and 3 months after discharge from the hospital . Patients also completed measures of dietary fat consumption and activity level 1 and 3 months after discharge . RESULTS Relative to controls , patients who viewed either of the videotapes before hospital release reported higher self-efficacy for adhering to the recommended low-fat diet both at discharge and 1 month after surgery . Viewing either of the videotapes also resulted in significantly less dietary fat intake 1 month after hospital release compared with controls . Patients who viewed the tape that portrayed the recovery period as consisting of ups and downs also reported significantly more frequent moderate exercise at 1 month and more frequent strenuous exercise 3 months after discharge . CONCLUSIONS The experimental videotapes proved to be an effective method for increasing dietary and exercise compliance during the first 3 months after CABG .",Male and Female Coronary Artery Bypass Graft (CABG) Patients,Videotapes,"Higher Self-Efficacy for Adhering to Low-Fat Diet, Less Dietary Fat Intake, More Frequent Moderate Exercise, More Frequent Strenuous Exercise",zero_shot_qwen
10706930,The effects of hormone replacement therapy on hemostatic variables in women with angiographically verified coronary artery disease : results from the estrogen in women with atherosclerosis study .,"Data on the effect of hormone replacement therapy on hemostasis are inconsistent , and there are few data in women with coronary artery disease . In a single-center , open , randomized study , 118 postmenopausal women with angiographically verified coronary artery disease were randomized to hormone replacement therapy , given as long-cycle transdermal 17-beta-estradiol ( 50 microg/24 hour ) for 3 months with sequential medroxy-progesterone acetate for 14 days , or to a control group receiving no therapy . In conclusion , treatment with transdermal estradiol combined with long-cycle progestins was associated with no net activation of coagulation despite reduced levels of coagulation inhibitors .","The coagulation inhibitors antithrombin , protein C , and protein S , but not tissue factor pathway inhibitor , decreased significantly from baseline in the hormone replacement therapy group at both 3 and 12 months as compared with the control group . No significant differences between the two treatment groups were observed for the coagulation products prothrombin fragment 1+2 or thrombin-antithrombin complex or for D-dimer , although there were significant decreases in the levels within the hormone replacement therapy group . Levels of fibrinogen , activated factor VII , and factor VII antigen were not significantly influenced by hormone replacement therapy treatment . Similarly , nonsignificant changes were detected for the fibrinolytic parameters tissue plasminogen activator activity , tissue plasminogen activator antigen , and global fibrinolytic activity , but plasminogen activator inhibitor type 1 was significantly lower in the hormone replacement therapy group due to a questionable increase in the levels in the control group .",Postmenopausal women with angiographically verified coronary artery disease,Hormone replacement therapy (transdermal 17-beta-estradiol) + sequential medroxy-progesterone acetate,"Decreased levels of antithrombin, protein C, and protein S; increased levels of fibrinogen, activated factor VII, and factor VII antigen; decreased levels of plasminogen activator inhibitor type 1",zero_shot_qwen
12384805,Randomized trial of adoptive transfer of melanoma tumor-infiltrating lymphocytes as adjuvant therapy for stage III melanoma . The aim of this study was to demonstrate the interest of using tumor-infiltrating lymphocytes ( TIL ) as adjuvant therapy for stage III ( regional lymph nodes ) melanoma . Eighty-eight patients determined as eligible for treatment were enrolled in the study .,"After lymph node excision , patients without any detectable metastases were randomly assigned to receive either TIL plus interleukin-2 ( IL-2 ) for 2 months , or IL-2 only . This study demonstrates for the first time that the efficiency of TIL in stage III melanoma ( AJCC ) is directly related to the number of invaded lymph nodes , indicating that tumor burden might be a crucial factor in the efficacy and/or in vitro expansion of T cells specific for autologous tumor antigen , a finding which could be of value in future vaccine development for the treatment of melanoma .","The primary endpoint was determination of the duration of the relapse-free interval . After a median follow-up of 46.9 months , for the study population the analysis did not show a significant extension of the relapse-free interval or overall survival . However , a significant interaction ( P < 0.001 ) was found between the treatment and the number of invaded lymph nodes . In the group with only one invaded lymph node , the estimated relapse rate was significantly lower ( P ( adjusted ) =0.0285 ) and the overall survival was increased ( P ( adjusted ) =0.039 ) in the TIL+IL-2 arm compared with the IL-2 only arm . No differences between the two arms , either as regards the duration of disease-free survival or overall survival , were noted in the group with more than one invaded lymph node whatever the number of invaded lymph nodes .",Eligible patients with stage III melanoma who had no detectable metastases after lymph node excision.,"Tumor-infiltrating lymphocytes (TIL) plus interleukin-2 (IL-2), and IL-2 alone.",Duration of relapse-free interval; overall survival; relapse rate; overall survival; duration of disease-free survival; overall survival; treatment compatibility with normal daily activity.,zero_shot_qwen
11360574,[ Clinical and experimental research of Epimedium brevicornum in relieving neuroendocrino-immunological effect inhibited by exogenous glucocorticoid ] .,"OBJECTIVE To study protective effect of Epimedium brevicornum ( EB ) on hypothalamus-pituitary-adrenal-thymus ( HPAT ) axis inhibited by exogenous glucocorticoid . METHODS In clinical research , variation of cortisol , adrenocorticotrophin ( ACTH ) , lymphocyte proliferative reaction were observed before and after medication in 65 patients took prednisone , and were randomly divided into Fufang prednisone group ( mixture of prednisone and EB ) and prednisone group .","RESULTS The level of ACTH and CORT in plasma decreased and lymphocyte proliferative reaction reduced in patients ( P < 0.05 ) . In experimental study , monoaminic transmitters activated in hypothalamus ; weight of pituitary , adrenal and thymus decreased ; number of CRH positive neurons in hypothalamic paraventricular nucleus , CRH positive neurofibrilin median eminence and anterior pituitary ACTH positive secretory cells decreased ; adrenal fasciculate zone and thymus cortex atrophies ; NK cell cytotoxicity and the level of IL-2 and gamma-IFN which were produced by lymphocytes reduced in CORT-rats ( P < 0.05 ) . CONCLUSION EB could relieve neuroendocrino-immunological effect inhibited by exogenous glucocorticoid .",65 patients taking prednisone An experimental model of HPAT axis inhibited by corticosterone,Prednisone EB (Epimedium brevicornum) CORT (corticosterone),"Decreased levels of ACTH and CORT in plasma Reduced lymphocyte proliferative reaction Monoamine transmitters activated in hypothalamus Weight of pituitary, adrenal, and thymus decreased Number of CRH-positive neurons in hypothalamic paraventricular nucleus, CRH-positive neurofibrilin median eminence, and anterior pituitary ACTH-positive secretory cells decreased Adrenal fasciculate zone and thymus cortex atrophy NK cell cytotoxicity and the level of IL-2 and γ-IFN produced by lymphocytes reduced Significant differences between Fufang prednisone group (clinical research), EB group (experimental",zero_shot_qwen
10080319,Masticatory performance and chewing experience with implant-retained mandibular overdentures . The relationship between masticatory performance and chewing experience has not yet been explored for patients with implant-retained overdentures .,The implant treatment involved either a mainly implant-supported mandibular overdenture on a transmandibular implant ( TMI ) or an implant-tissue-supported mandibular overdenture on two IMZ implants ( IMZ ) .,"masticatory performance , and the subjective chewing experience . Masticatory performance as well as chewing experience were substantially better for the implant-retained overdentures compared with the complete denture group . A multiple regression analysis did not provide any comprehensibility in the relationship between masticatory performance and the variables of chewing experience . In the linear structural relation analysis ( LISREL ) no direct relationship was found between masticatory performance and functional complaints mandibular denture .",Patients with implant-retained overdentures and those with conventional complete dentures.,Implant treatment involving either a mainly implant-supported mandibular overdenture on a transmandibular implant or an implant-tissue-supported mandibular overdenture on two IMZ implants.,"Masticatory performance and chewing experience.  Note: The third line contains more than three words, so it's split into two lines. The first part ""improvement in masticatory performance"" is followed by ""does not imply the same improvement in chewing experience"". The second part ""vice versa"" completes the sentence. To maintain the requested format, I've separated them into two lines. However, if you prefer to keep all outcomes on the same line, please let me know! Let me know if there are any other details you need help with.",zero_shot_qwen
11450816,"Lamotrigine therapy for autistic disorder : a randomized , double-blind , placebo-controlled trial . Twenty-eight children ( 27 boys ) ages 3 to 11 years ( M = 5.8 ) with a primary diagnosis of autistic disorder received either placebo or lamotrigine twice daily .","This was a double-blind , placebo-controlled , parallel group study of lamotrigine , an agent that modulates glutamate release . In children on lamotrigine , the drug was titrated upward over 8 weeks to reach a mean maintenance dose of 5.0 mg/kg per day . This dose was then maintained for 4 weeks . Following maintenance evaluations , the drug was tapered down over 2 weeks . The trial ended with a 4-week drug-free period .","Outcome measures included improvements in severity and behavioral features of autistic disorder ( stereotypies , lethargy , irritability , hyperactivity , emotional reciprocity , sharing pleasures ) and improvements in language and communication , socialization , and daily living skills noted after 12 weeks ( the end of a 4-week maintenance phase ) . We did not find any significant differences in improvements between lamotrigine or placebo groups on the Autism Behavior Checklist , the Aberrant Behavior Checklist , the Vineland Adaptive Behavior scales , the PL-ADOS , or the CARS . Parent rating scales showed marked improvements , presumably due to expectations of benefits .",Twenty-eight children aged 3 to 11 years old with a primary diagnosis of autistic disorder.,Placebo and Lamotrigine.,"Improvements in severity and behavioral features of autistic disorder, including stereotypies, lethargy, irritability, hyperactivity, emotional reciprocity, sharing pleasures; improvements in language and communication, socialization, and daily living skills.",zero_shot_qwen
10968308,PARTICIPANTS Patients aged 65 or older of primary care physicians in a large provider organization bearing financial risk for their care ( n = 6409 ) .,INTERVENTION Screening for high risk and provision of social work-based case management .,"The effect of case management on the costs of health care for enrollees in Medicare Plus Choice plans : a randomized trial . OBJECTIVE To measure the effects of case management on an older population 's costs of health care . OUTCOME MEASURES Volume and cost of hospital , physician , case management , and other health-related services . RESULTS The experimental group used more case management services than the control group ( 0.09 vs. 0.02 months per person , P < .001 ) . The experimental group 's average total payments for health care were slightly lower ( $ 3148 vs $ 3277 , P = .40 ) . CONCLUSIONS This study provides no statistically significant evidence that social work-oriented case management reduces the use or the cost of health care for high-risk older people .",Older patients aged 65 or older with primary care physicians in a large provider organization bearing financial risk for their care.,Case management screening and provision of social work-based case management.,"Volume and cost of hospital, physician, case management, and other health-related services.",zero_shot_qwen
11029568,Epidural fentanyl-bupivacaine compared with clonidine-bupivacaine for analgesia in labour . We studied 41 pregnant women .,"Epidural block was performed with 75 microg clonidine ( n = 20 ) or 50 microg fentanyl ( n = 21 ) combined with 0.125 % bupivacaine ( 10 mL ) . Analgesia lasted longer in the bupivacaine-clonidine group ( 139.4 +/- 31 min ) compared with the bupivacaine-fentanyl group ( 127.9 +/- 48 min ) ( P = 0.42 ) . This small study confirms that this combination of bupivacaine and clonidine provides satisfactory analgesia for first-stage labour , and of longer duration than bupivacaine-fentanyl .","Alpha-adrenergic agonists produce pain relief through an opioid independent mechanism and may be alternatives to opioids for combination with local anaesthetics for analgesia during labour . Maternal vital parameters were measured . Analgesia was evaluated using a visual analogue scale ( VAS ) ; sedation was scored using a five-point scale . There were no differences in maternal vital parameters , fetal heart rate ( FHR ) or Apgar scores between the groups . Additional analgesic requirement was more often in the fentanyl-bupivacaine group and total bupivacaine requirement was less in the clonidine-bupivacaine group ( 22.5 +/- 12.5 mg vs. 30.9 +/- 12.8 mg ) ( P = 0.04 ) .",41 pregnant women,- Clonidine-bupivacaine (n=20) - Fentanyl-bupivacaine (n=21),- Duration of analgesia (VAS score) - Sedation score - Vital parameters (maternal and fetal),zero_shot_qwen
11369627,Immune reconstitution after allogeneic marrow transplantation compared with blood stem cell transplantation .,Immune reconstitution was studied in 115 patients randomly assigned to receive either allogeneic marrow or filgrastim-mobilized blood stem cell transplantation . Death associated with a fungal or bacterial infection occurred between day 30 and day 365 after transplantation in 9 marrow recipients and no blood stem cell recipients ( P =.008 ) .,"Between day 30 and 365 after transplantation , counts of most lymphocyte subsets were higher in the blood stem cell recipients . The difference was most striking for CD4 T cells ( about 4-fold higher counts for CD45RA ( high ) CD4 T cells and about 2-fold higher counts for CD45RA ( low/- ) CD4 T cells ; P < .05 ) . On assessment using phytohemagglutinin and herpesvirus antigen-stimulated proliferation , T cells in the 2 groups of patients appeared equally functional . Median serum IgG levels were similar in the 2 groups . The rate of definite infections after engraftment was 1.7-fold higher in marrow recipients ( P =.001 ) . The rate of severe ( inpatient treatment required ) definite infections after engraftment was 2.4-fold higher in marrow recipients ( P =.002 ) . The difference in the rates of definite infections was greatest for fungal infections , intermediate for bacterial infections , and lowest for viral infections . In conclusion , blood stem cell recipients have higher lymphocyte-subset counts and this appears to result in fewer infections .",Allogeneic marrow recipients; Blood stem cell recipients,Allogeneic marrow transplantation; Filgrastim-mobilized blood stem cell transplantation,Lymphocyte subset counts; Definite infections; Fungal infections; Bacterial infections; Viral infections; Death due to infection,zero_shot_qwen
10671339,"GM-CSF appears to improve the response to influenza vaccination in some groups of SCT patients , but only to a limited extent .","Granulocyte-macrophage colony-stimulating factor as immunomodulating factor together with influenza vaccination in stem cell transplant patients . The effect of granulocyte-macrophage colony-stimulating factor ( GM-CSF ) on the serological response at influenza vaccination was studied in 117 patients who had undergone stem cell transplantation ( SCT ) . In the subgroup of allogeneic SCT patients , HAI showed that the response rate to the influenza B vaccine was significantly higher in the treatment group ( P < .05 ) .","The vaccine response was evaluated as significant increases in levels of influenza hemagglutination-inhibition ( HAI ) antibodies and of IgG antibodies measured by enzyme-linked immunosorbent assay ( ELISA ) . There was no difference in antibody response to either influenza A or B in 64 patients who received GM-CSF at vaccination , compared with the 53 who did not . ELISA showed that autologous SCT patients with breast cancer who received GM-CSF had a better response to influenza A ( P < .05 ) and B ( P < .01 ) .",117 patients who had undergone stem cell transplantation ( SCT ),"Granulocyte-macrophage colony-stimulating factor ( GM-CSF ), influenza vaccination","Significant increases in levels of influenza hemagglutination-inhibition ( HAI ) antibodies and of IgG antibodies measured by enzyme-linked immunosorbent assay ( ELISA )  This abstract describes a clinical trial studying the use of granulocyte-macrophage colony-stimulating factor (GM-CSF) as an immunomodulating factor combined with influenza vaccination in stem cell transplant (SCT) patients. The primary outcome measures are significant increases in levels of influenza hemagglutination-inhibition (HAI) antibodies and of IgG antibodies measured by enzyme-linked immunosorbent assay (ELISA). The study found that GM-CSF improved the response to influenza vaccination in certain groups of SCT patients, particularly those undergoing allogeneic SCT for breast cancer.",zero_shot_qwen
10078672,"Accordingly , the authors used mood inventories and psychomotor tests to characterize the effects of remifentanil in healthy , non-drug-abusing volunteers .","METHODS Ten healthy volunteers were enrolled in a randomized , double-blinded , placebo-controlled , crossover trial in which they received an infusion of saline , remifentanil , or alfentanil for 120 min . The age- and weight-adjusted infusions ( determined with STANPUMP , a computer modeling software package ) were given to achieve three predicted constant plasma levels for 40 min each of remifentanil ( 0.75 , 1.5 , and 3 ng/ml ) and alfentanil ( 16 , 32 , and 64 ng/ml ) .","Behavioral and physiological effects of remifentanil and alfentanil in healthy volunteers . BACKGROUND The subjective and psychomotor effects of remifentanil have not been evaluated . RESULTS Remifentanil had prototypic micro-like opioid subjective effects , impaired psychomotor performance , and produced analgesia . Alfentanil at the dose range tested had more mild effects on these measures , and the analgesia data indicated that a 40:1 potency ratio , rather than the 20:1 ratio we used , may exist between remifentanil and alfentanil . CONCLUSIONS The notion that the pharmacodynamic effects of remifentanil are extremely short-lived after the drug is no longer administered must be questioned given our findings that psychomotor effects were still apparent 1 h after the infusion was discontinued .","Healthy, non-drug-abusing volunteers","Saline, remifentanil, alfentanil","Subjective effects, psychomotor performance, analgesia, miosis, impairment",zero_shot_qwen
